Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth	Topic
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	TankoJože	Tanko, Jože	M	1956	Transportation
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	notMP	Minister	-	-	-	-	BratušekAlenka	Bratušek, Alenka	F	1970	Transportation
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	TankoJože	Tanko, Jože	M	1956	Macroeconomics
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	PolnarRobert	Polnar, Robert	M	1960	Transportation
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	TankoJože	Tanko, Jože	M	1956	Other
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	ČernačZvonko	Černač, Zvonko	M	1962	Transportation
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	TankoJože	Tanko, Jože	M	1956	Other
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	MP	notMinister	LMŠ	The List of Marjan Šarec	Coalition	Centre to centre-left	DivjakMirnikLidija	Divjak Mirnik, Lidija	F	1973	Transportation
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	TankoJože	Tanko, Jože	M	1956	Other
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	RosecFranc	Rosec, Franc	M	1967	Transportation
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	TankoJože	Tanko, Jože	M	1956	Other
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u12	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	notMP	Minister	-	-	-	-	BratušekAlenka	Bratušek, Alenka	F	1970	Transportation
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u13	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	LMŠ	The List of Marjan Šarec	Coalition	Centre to centre-left	HeferleTina	Heferle, Tina	F	1986	Other
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u14	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	ČernačZvonko	Černač, Zvonko	M	1962	Transportation
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u15	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	LMŠ	The List of Marjan Šarec	Coalition	Centre to centre-left	HeferleTina	Heferle, Tina	F	1986	Other
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u16	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	MP	notMinister	NSi	New Slovenia – Christian Democrats	Opposition	Centre-right	ReberšekAleksander	Reberšek, Aleksander	M	1980	Transportation
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u17	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	LMŠ	The List of Marjan Šarec	Coalition	Centre to centre-left	HeferleTina	Heferle, Tina	F	1986	Other
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u18	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	notMP	notMinister	-	-	-	-	MauhlerNina	Mauhler, Nina	F	-	Transportation
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u19	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 14, (18. 12. 2019)	2019-12-18	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	LMŠ	The List of Marjan Šarec	Coalition	Centre to centre-left	HeferleTina	Heferle, Tina	F	1986	Other
