Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth	Topic
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	ŽidanDejan	Židan, Dejan	M	1967	Labor
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	notMP	notMinister	-	-	-	-	MaroltMajda	Marolt, Majda	F	-	Labor
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	ŽidanDejan	Židan, Dejan	M	1967	Mix
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	MP	notMinister	SAB	Party of Alenka Bratušek	Coalition	Centre-left	StarovićVojko	Starović, Vojko	M	1952	Labor
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	ŽidanDejan	Židan, Dejan	M	1967	Other
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	notMP	notMinister	-	-	-	-	KrajcarUrban	Krajcar, Urban	M	-	Labor
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	ŽidanDejan	Židan, Dejan	M	1967	Other
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	MP	notMinister	SAB	Party of Alenka Bratušek	Coalition	Centre-left	StarovićVojko	Starović, Vojko	M	1952	Labor
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	ŽidanDejan	Židan, Dejan	M	1967	Other
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	LepJurij	Lep, Jurij	M	1958	Labor
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	ŽidanDejan	Židan, Dejan	M	1967	Other
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u12	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	MP	notMinister	SNS	Slovenian National Party	Opposition	Right to far-right	ŠiškoDušan	Šiško, Dušan	M	1969	Labor
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u13	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	ŽidanDejan	Židan, Dejan	M	1967	Other
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u14	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	LepŠimenkoSuzana	Lep Šimenko, Suzana	F	1979	Labor
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u15	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	ŽidanDejan	Židan, Dejan	M	1967	Other
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u16	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	MP	notMinister	LMŠ	The List of Marjan Šarec	Coalition	Centre to centre-left	KovačičAljaž	Kovačič, Aljaž	M	1989	Mix
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u17	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	ŽidanDejan	Židan, Dejan	M	1967	Other
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u18	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Regular	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	KnežakSoniboj	Knežak, Soniboj	M	1962	Labor
ParlaMint-SI_2020-01-28-SDZ8-Redna-15	ParlaMint-SI_2020-01-28-SDZ8-Redna-15.ana.u19	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 15, (28. 01. 2020)	2020-01-28	Lower house	8. mandat	-	Redna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	ŽidanDejan	Židan, Dejan	M	1967	Other
